,violent,crime_type,unique_id,gender,age,race,marital_stat,is_military,year_arrested,year_admitted,ntimes_arrested,age_arrest_first,violent_first,probation_yn,ntimes_incarc_adult,ntimes_incarc_juv,highest_grade_attend,has_GED,has_HSD,had_job,public_assist_prior,monthly_income_prior,family_makeup,child_caretaker_welfare,child_caretaker_substabuse,parents_servetime,family_servetime,commit_crime_juv,age_crime_first,forcible_sex,phys_abuse,age_drink_first,drink_frequency,used_heroin,used_meth,used_barbiturates,used_crack,used_cocaine,used_pcp,used_ecstacy,used_lsd,used_pot
85,1,1,86,male,80,white,married,1,2002,2002,0.0,18.9689288635,0,0,2.0,0.0,9.0,0,0,0,0,1100.0,mother,0,0,0,0,0,13.8279620853,0,0,19.0,9,0,0,0,0,0,0,0,0,0
87,1,1,88,male,48,white,never_marr,0,1990,1990,10.0,16.0,0,1,7.0,0.0,14.0,0,0,0,1,0.0,mother,1,1,0,0,1,15.0,0,0,18.0,9,1,0,1,1,1,0,0,1,1
88,1,1,89,male,40,white,never_marr,0,1998,1999,3.0,16.0,0,1,2.0,0.0,6.0,0,0,1,0,1690.21001409,mother,1,0,1,1,1,16.0,0,0,15.0,10,1,0,0,1,1,0,0,0,1
89,1,1,90,male,37,black,divorced,0,1998,1999,10.0,16.0,0,1,2.0,0.0,11.0,0,0,1,0,6250.0,both,0,0,0,1,1,15.0,0,1,13.0,0,1,0,0,0,1,0,0,0,1
92,0,3,93,male,31,other,never_marr,0,9997,2001,2.0,17.0,1,1,2.0,0.0,12.0,0,1,0,0,500.0,mother,0,0,0,1,1,12.0,0,0,17.0,0,0,0,0,0,0,0,1,0,1
94,0,3,95,male,25,white,never_marr,0,2002,2003,0.0,18.9689288635,0,0,2.0,0.0,9.0,0,0,0,0,500.0,mother,1,0,1,0,1,18.0,0,0,15.9622498484,0,1,0,0,0,1,0,0,0,1
95,1,1,96,male,35,race_unknown,never_marr,0,1992,1995,0.0,18.9689288635,0,0,2.0,0.0,17.0,0,0,1,0,1350.0,mother,0,0,0,1,1,13.0,0,0,15.9622498484,0,1,0,0,1,1,0,0,0,0
96,0,3,97,male,51,black,never_marr,0,2000,2000,8.0,10.0,1,1,6.0,2.0,11.0,0,0,0,0,0.0,mother,1,0,0,1,1,16.0,0,0,15.9622498484,0,0,1,0,1,1,0,0,0,1
99,0,3,100,male,40,white,separated,0,2003,2003,1.0,37.0,0,0,2.0,0.0,12.0,0,0,1,0,1350.0,both,0,1,0,1,1,14.0,0,0,13.0,8,1,0,0,1,1,0,1,0,1
100,0,3,101,male,22,black,never_marr,0,2002,2002,1.0,18.0,0,1,2.0,0.0,10.0,0,0,0,0,0.0,both,1,1,0,0,1,16.0,0,0,18.0,0,0,0,0,0,0,0,1,0,1
103,0,4,104,male,20,white,divorced,0,2003,2003,1.0,19.0,0,0,2.0,0.0,10.8733575272,0,0,0,0,0.0,family_unknown,0,0,0,0,0,13.8279620853,0,0,15.9622498484,0,0,0,0,0,0,0,0,0,0
104,0,3,105,male,46,black,never_marr,0,2003,2003,2.0,39.0,1,1,2.0,0.0,12.0,0,1,1,0,900.0,mother,0,1,0,1,0,13.8279620853,0,0,8.0,10,0,0,0,0,0,0,0,0,0
